First Name ,Middle Name ,Last Name ,DOB,Birth Place,Address,Pin Code,Mobile No.,Email ID,University Name,User ID,PW
,,,,,,,,,,,
Divyansh ,Arvind,Katare,18-05-2004,Surat,"Subhanpura, Vadodara, Gujarat",390023.0,898*****12,dkatare@gmail.com,Navrachana University,dkatare,12345.0
Ruhi,amin,Patel,03-07-2003,Ahmedabad,"Nizampura, Vadodara, Gujarat",390021.0,875*****00,rshah123@gmail.com,Navrachana University,rshah,12345.0
Husena,Murtuzabhai ,Limdiwala,05-01-2004,Dahod,"Fategunj, Vadodara, Gujarat",390011.0,754*****34,hlimdiwala@gmail.com,Navrachana University,hlimdiwala,12345.0
Archi ,Jigneshbhai,Gandhi,11-03-2003,Vadodara,"Gotri, Vadodara, Gujarat",390013.0,871*****00,agandhi@gmail.com,ITM University,agandhi,12345.0
Aayush,Amitbhai ,Patel,30-05-2003,Rajkot,"Vasna-Bhayli, Vadodara, Gujarat",390017.0,922*****00,apatel@gmail.com,Nirma University,apatel,12345.0
Nikesh,Muraleedharan,Ezhava,13-01-2003,Gandhinagar,"Manjalpur, Vadodara, Gujarat",390027.0,711*****62,nezhava@gmail.com,G H Patel College,nezhava,12345.0
Divya ,BharatBhai,Gehlot,21-11-2003,Bhavnagar,"Chhani, Vadodara, Gujarat",390006.0,621*****98,dgehlot@gmail.com,BVM,dgehlot,12345.0
Saumyajeetsinh ,Bharatsinh,Vaghela,06-10-2003,Ahmedabad,"Makarpura, Vadodara, Gujarat",390013.0,961*****34,svaghela@gmail.com,Changa University,svaghela,12345.0
Pratham,Pratik ,Patel,17-12-2003,Vadodara,"OP Road, Vadodara, Gujarat",390017.0,898*****12,pshah@gmail.com,GSFC University,pshah,12345.0
Pranav  ,Mahendrabhai ,Vaniya,09-10-2003,Bharuch,"Alkapuri, Vadodara, Gujarat",390021.0,875*****00,pvaniya@gmail.com,Navrachana University,pvaniya,12345.0
Bansi ,Paresh,Patel,01-02-2003,Palanpur,"Subhanpura, Vadodara, Gujarat",390021.0,754*****34,bpatel@gmail.com,Parul University,bpatel,12345.0
Meet ,Kumar ,Solanki,18-05-2004,patan,"Nizampura, Vadodara, Gujarat",390023.0,871*****00,msolanki@gmail.com,KGPU University,msolanki,12345.0
Arpitaben ,Ashokkumar,Parmar,03-07-2003,Dahod,"Fategunj, Vadodara, Gujarat",390021.0,922*****00,aparmar@gmail.com,Navrachana University,aparmar,12345.0
Purva ,Vimalbhai,Patel,05-01-2004,Amreli,"Gotri, Vadodara, Gujarat",390011.0,711*****62,pshah@gmail.com,ITM University,pshah,12345.0
Vidhiben ,Dipakbhai,Thakor,11-03-2003,Surat,"Vasna-Bhayli, Vadodara, Gujarat",390013.0,621*****98,vthakor@gmail.com,Nirma University,vthakor,12345.0
Om,Tushar,Mallik,30-05-2003,Ahmedabad,"Manjalpur, Vadodara, Gujarat",390017.0,961*****34,omallik@gmail.com,G H Patel College,omallik,12345.0
Neelay,Manishabhai,Soni,13-01-2003,Dahod,"Chhani, Vadodara, Gujarat",390027.0,898*****12,nsoni@gmail.com,BVM,nsoni,12345.0
Suhani ,,Singh,21-11-2003,Vadodara,"Makarpura, Vadodara, Gujarat",390006.0,875*****00,ssingh@gmail.com,Changa University,ssingh,12345.0
Hiya ,Pritesh,Patel,06-10-2003,Rajkot,"OP Road, Vadodara, Gujarat",390013.0,754*****34,hshah@gmail.com,GSFC University,hshah,12345.0
Abdur ,Rahman,Doctor,17-12-2003,Gandhinagar,"Alkapuri, Vadodara, Gujarat",390017.0,871*****00,adoctor@gmail.com,Navrachana University,adoctor,12345.0
TANISHA ,,Makwana,09-10-2003,Bhavnagar,"Subhanpura, Vadodara, Gujarat",390021.0,922*****00,tmakwana@gmail.com,Parul University,tmakwana,12345.0
KHUSHI ,ATUL,Patel,01-02-2003,Ahmedabad,"Nizampura, Vadodara, Gujarat",390021.0,711*****62,kpatel@gmail.com,KGPU University,kpatel,12345.0
Kush ,Bharatkumar,Rana,18-05-2004,Vadodara,"Fategunj, Vadodara, Gujarat",390023.0,621*****98,krana@gmail.com,Navrachana University,krana,12345.0
Shiv ,Mehul,Patel,03-07-2003,Bharuch,"Gotri, Vadodara, Gujarat",390021.0,961*****34,sshah@gmail.com,ITM University,sshah,12345.0
Shyam ,Daxesh ,Gajjar,05-01-2004,Palanpur,"Vasna-Bhayli, Vadodara, Gujarat",390011.0,898*****12,sgajjar@gmail.com,Nirma University,sgajjar,12345.0
Aayush  ,Sanjaykumar,Padariya,11-03-2003,patan,"Manjalpur, Vadodara, Gujarat",390013.0,875*****00,apadariya@gmail.com,G H Patel College,apadariya,12345.0
Mihir   ,Pravinkumar,Shah ,30-05-2003,Dahod,"Chhani, Vadodara, Gujarat",390017.0,754*****34,mshah @gmail.com,BVM,mshah ,12345.0
Omkar ,Rajesh,Brahmbhatt,13-01-2003,Botad,"Makarpura, Vadodara, Gujarat",390027.0,871*****00,obrahmbhatt@gmail.com,Changa University,obrahmbhatt,12345.0
Mekhala ,Bhavin,Parikh,21-11-2003,Bhuj ,"OP Road, Vadodara, Gujarat",390006.0,922*****00,mparikh@gmail.com,GSFC University,mparikh,12345.0
Nikunj ,Rahul,Goswami,06-10-2003,Mehsana,"Alkapuri, Vadodara, Gujarat",390013.0,711*****62,ngoswami@gmail.com,Navrachana University,ngoswami,12345.0
Keval ,Sanjay ,Turakhia,17-12-2003,Valsad,"Subhanpura, Vadodara, Gujarat",390017.0,621*****98,kturakhia@gmail.com,Parul University,kturakhia,12345.0
Shaishav ,Pradipkumar ,Trivedi,09-10-2003,Vapi,"Nizampura, Vadodara, Gujarat",390021.0,961*****34,strivedi@gmail.com,KGPU University,strivedi,12345.0
Shivam ,Rajesh,Somani,01-02-2003,Navsari,"Fategunj, Vadodara, Gujarat",390021.0,898*****12,ssomani@gmail.com,Navrachana University,ssomani,12345.0
Vedant ,Pankakumar,Gosai,18-05-2004,Gandhidham,"Gotri, Vadodara, Gujarat",390021.0,875*****00,vgosai@gmail.com,ITM University,vgosai,12345.0
Meet ,Rakeshkumar,Soni,03-07-2003,Junagadh,"Vasna-Bhayli, Vadodara, Gujarat",390011.0,754*****34,msoni@gmail.com,Nirma University,msoni,12345.0
Khushi ,Bhaveshbhai,Rathod,05-01-2004,Morbi,"Manjalpur, Vadodara, Gujarat",390001.0,871*****00,krathod@gmail.com,G H Patel College,krathod,12345.0
Rikita ,Rohan,Agrawal,11-03-2003,Kutch,"Chhani, Vadodara, Gujarat",390007.0,922*****00,ragrawal@gmail.com,BVM,ragrawal,12345.0
Yash  ,Virenbhai ,Jhaveri,30-05-2003,Modasa,"Makarpura, Vadodara, Gujarat",390009.0,711*****62,yjhaveri@gmail.com,Changa University,yjhaveri,12345.0
Neel,neel,son,11003,vadodara,wadi,390017.0,9325877412,neelat23456,NUV,n,12541.0
PRATHAM,MANISH,SONI,13-09-07,VADODARA,WADI,390017,9328537932,prathamsoni234@gmail.com,BAPS ,prathamsoni234,pratham123
